"","PctFFood","population","sdi_score","fpl_100_score","sing_parent_fam_score","black_score","dropout_score","no_car_score","rent_occup_score","crowding_score","nonemp_score","unemp_score","highneeds_score","hisp_score","foreignb_score","lingisol_score"
"PctFFood",1,0.13825561070265,0.143251155237597,0.0616216955321475,0.20285826703944,0.238367323752498,0.0211753685742492,0.0949099781200704,0.211864598212135,0.0649071123830637,0.101492557089648,0.101492557089648,-0.120257018096901,0.149761789113166,0.183231239613624,0.134227874486179
"population",0.13825561070265,1,0.112474347996313,-0.0457978374654689,0.148896776566942,0.162454737743563,-0.0476276399074131,0.125332555603731,0.302618189358942,0.15090609403758,0.0566121604315544,0.0566121604315544,-0.0635985972231351,0.245360546472495,0.420115075118525,0.332419938270604
"sdi_score",0.143251155237597,0.112474347996313,1,0.855373896559131,0.814827490569274,0.546183703723301,0.741501930356874,0.689478479726758,0.571550440482677,0.534780665441251,0.693284577198159,0.693284577198159,0.0660883563629527,0.20996745422856,0.173207116189946,0.258363673669606
"fpl_100_score",0.0616216955321475,-0.0457978374654689,0.855373896559131,1,0.553269567790177,0.379699684629509,0.679372552070583,0.570947671099983,0.327855923371015,0.349319560711063,0.633180384846912,0.633180384846912,0.228324699898496,0.0104425883852697,-0.0783502687241382,0.0285201563362318
"sing_parent_fam_score",0.20285826703944,0.148896776566942,0.814827490569274,0.553269567790177,1,0.554514049851949,0.427555346373677,0.582853192724888,0.565427549120475,0.365267227053137,0.469729695616035,0.469729695616035,-0.0516243548126744,0.160870234417732,0.164156859484238,0.216711345547157
"black_score",0.238367323752498,0.162454737743563,0.546183703723301,0.379699684629509,0.554514049851949,1,0.382206933934449,0.425936684774772,0.333079858268333,0.14379361180143,0.421879766205257,0.421879766205257,-0.0886465007338465,0.0252005044163621,0.122222115795457,0.0720998558284009
"dropout_score",0.0211753685742492,-0.0476276399074131,0.741501930356874,0.679372552070583,0.427555346373677,0.382206933934449,1,0.401278289765271,0.0855593033225323,0.424112709977769,0.503718373063794,0.503718373063794,0.0207956743608753,0.203824135230903,0.0638073506389674,0.213763545898619
"no_car_score",0.0949099781200704,0.125332555603731,0.689478479726758,0.570947671099983,0.582853192724888,0.425936684774772,0.401278289765271,1,0.43541837013481,0.158852599043484,0.474511554754731,0.474511554754731,0.12707466011509,-0.0808208351197685,0.00291383731713598,0.0507991832318756
"rent_occup_score",0.211864598212135,0.302618189358942,0.571550440482677,0.327855923371015,0.565427549120475,0.333079858268333,0.0855593033225323,0.43541837013481,1,0.325349321136807,0.220668414596461,0.220668414596461,0.0515871695595185,0.301574614914205,0.420598527005685,0.366345936769483
"crowding_score",0.0649071123830637,0.15090609403758,0.534780665441251,0.349319560711063,0.365267227053137,0.14379361180143,0.424112709977769,0.158852599043484,0.325349321136807,1,0.250998700841489,0.250998700841489,-0.109930136683051,0.50754654755745,0.441742474645255,0.507395292197097
"nonemp_score",0.101492557089648,0.0566121604315544,0.693284577198159,0.633180384846912,0.469729695616035,0.421879766205257,0.503718373063794,0.474511554754731,0.220668414596461,0.250998700841489,1,1,0.0350816603638453,-0.00924189722134741,-0.0191883934222497,-0.0182201904430537
"unemp_score",0.101492557089648,0.0566121604315544,0.693284577198159,0.633180384846912,0.469729695616035,0.421879766205257,0.503718373063794,0.474511554754731,0.220668414596461,0.250998700841489,1,1,0.0350816603638453,-0.00924189722134741,-0.0191883934222497,-0.0182201904430537
"highneeds_score",-0.120257018096901,-0.0635985972231351,0.0660883563629527,0.228324699898496,-0.0516243548126744,-0.0886465007338465,0.0207956743608753,0.12707466011509,0.0515871695595185,-0.109930136683051,0.0350816603638453,0.0350816603638453,1,-0.120274033104128,-0.163558137531365,-0.0929929118155454
"hisp_score",0.149761789113166,0.245360546472495,0.20996745422856,0.0104425883852697,0.160870234417732,0.0252005044163621,0.203824135230903,-0.0808208351197685,0.301574614914205,0.50754654755745,-0.00924189722134741,-0.00924189722134741,-0.120274033104128,1,0.8145393993375,0.851707573105129
"foreignb_score",0.183231239613624,0.420115075118525,0.173207116189946,-0.0783502687241382,0.164156859484238,0.122222115795457,0.0638073506389674,0.00291383731713598,0.420598527005685,0.441742474645255,-0.0191883934222497,-0.0191883934222497,-0.163558137531365,0.8145393993375,1,0.865435294920606
"lingisol_score",0.134227874486179,0.332419938270604,0.258363673669606,0.0285201563362318,0.216711345547157,0.0720998558284009,0.213763545898619,0.0507991832318756,0.366345936769483,0.507395292197097,-0.0182201904430537,-0.0182201904430537,-0.0929929118155454,0.851707573105129,0.865435294920606,1
