"","LACCESS_POP15","PCT_LACCESS_POP15","LACCESS_LOWI15","PCT_LACCESS_LOWI15","LACCESS_HHNV15","PCT_LACCESS_HHNV15","LACCESS_SNAP15","PCT_LACCESS_SNAP15","LACCESS_CHILD15","PCT_LACCESS_CHILD15","LACCESS_SENIORS15","PCT_LACCESS_SENIORS15","LACCESS_WHITE15","PCT_LACCESS_WHITE15","LACCESS_BLACK15","PCT_LACCESS_BLACK15","LACCESS_HISP15","PCT_LACCESS_HISP15","LACCESS_NHASIAN15","PCT_LACCESS_NHASIAN15","LACCESS_NHNA15","PCT_LACCESS_NHNA15","LACCESS_MULTIR15","PCT_LACCESS_MULTIR15","PCT_FREE_LUNCH15","PCT_REDUCED_LUNCH15","FOODINSEC_15_17","VLFOODSEC_15_17","POVRATE15","CHILDPOVRATE15"
"LACCESS_POP15",1,0.0353489571805684,0.933867466208367,-0.0503943988808194,0.884478261470499,-0.155798476845763,0.881160770358196,-0.017107461970256,0.992564105231824,0.0599141902045701,0.950227254332241,-0.0517542340459263,0.977933117726604,-0.00217566517236198,0.713947076042091,0.11491352355181,0.731441558221805,0.067508602894242,0.750993188393329,0.31472820506305,0.281646464603056,-0.0346698703430943,0.820276349269929,0.0939133602252219,-0.0647003306167536,-0.166233090598592,-0.0451513877090044,-0.0669759997946587,-0.112652879001281,-0.127974524876867
"PCT_LACCESS_POP15",0.0353489571805684,1,0.0400817117040067,0.907906328153669,-0.0340320784559414,0.149184131557315,0.0435848181127798,0.646388289720136,0.034459792162669,0.960496948703038,0.0402218229224137,0.914522251210158,0.0411803898658697,0.947393205390726,0.0222610973226896,0.13445284500667,0.00536246460479166,0.413788417025724,-0.0122379251973401,0.152909794535964,0.0886055042903682,0.269036566201034,0.00315151914026152,0.558166483738998,-0.119773397413225,0.167799874103881,-0.0748674045088629,-0.0767784740161807,-0.0738644045882905,-0.0732521751503257
"LACCESS_LOWI15",0.933867466208367,0.0400817117040067,1,0.008600846485394,0.889528388177018,-0.118959093547398,0.961512530445718,0.0539110084215703,0.942948093973592,0.067252789893305,0.860588626475387,-0.0483287302223229,0.883519313257648,-0.0112069177830163,0.753455491299816,0.161699005881186,0.834579543286356,0.114820327329744,0.623124889416759,0.243093248105862,0.321639824446646,-0.0200141119025271,0.856249702377186,0.125871201257023,0.029910850590811,-0.157139563321225,-0.0186676578863586,-0.0358155059432011,-0.00931787019018724,-0.0232350613543384
"PCT_LACCESS_LOWI15",-0.0503943988808194,0.907906328153669,0.008600846485394,1,-0.0713236975364583,0.312246281425869,0.0187243545195062,0.821145654025243,-0.0467439195937591,0.889141741022698,-0.0471766555694215,0.821458912432429,-0.0610034983440633,0.800817289710191,-0.000154448118441491,0.242909111225137,-0.000503317397496597,0.482355410176187,-0.0756000919811434,0.0835038370171312,0.133823509595564,0.362277269746017,-0.0265310207936923,0.577837491440733,0.126963859132768,0.120451329068085,-0.0283722910967931,-0.0308865286917139,0.183203479968155,0.184136888560904
"LACCESS_HHNV15",0.884478261470499,-0.0340320784559414,0.889528388177018,-0.0713236975364583,1,-0.0189986656786626,0.907396334868755,0.0201687764600049,0.864820644440824,-0.014263783280352,0.877008027602847,-0.107637194828367,0.864708827797357,-0.0864463677735398,0.714011619372436,0.185472900195758,0.60849386741188,0.0126492208250231,0.54847205591746,0.230105408390341,0.269622112341978,-0.024061584076649,0.67209261433755,0.0283415226918717,0.0405990972249249,-0.253947182205626,0.0149691699447737,-0.0182647204798189,-0.000878128102208789,-0.00644429235463386
"PCT_LACCESS_HHNV15",-0.155798476845763,0.149184131557315,-0.118959093547398,0.312246281425869,-0.0189986656786626,1,-0.0974391538813825,0.518914357886185,-0.153635466816227,0.164973103404267,-0.147548815727209,0.0782787612709195,-0.168378117364044,-0.0292517600393495,-0.0746465743639416,0.255939768884683,-0.0930388154452696,0.00292041834097606,-0.122189353605423,-0.00283608804069854,0.135243221136679,0.565517895264681,-0.113522072931883,0.063510452106082,0.376973461368848,-0.218366571352769,0.060102011512816,0.00682103640309579,0.424127829328579,0.433809160780154
"LACCESS_SNAP15",0.881160770358196,0.0435848181127798,0.961512530445718,0.0187243545195062,0.907396334868755,-0.0974391538813825,1,0.0977653887818051,0.887532321346455,0.0705428924697816,0.819166045600892,-0.0433491864667826,0.840154371576432,-0.0120871357460968,0.774268574191605,0.196652392333222,0.723783063610716,0.102624007915505,0.514463900395815,0.219342331009293,0.287294846859515,-0.0202409632406039,0.720489105233127,0.107010202732763,0.05412603903213,-0.19334830280109,0.00182906755941661,-0.00878330013796914,0.0165280924897934,0.0109640093893358
"PCT_LACCESS_SNAP15",-0.017107461970256,0.646388289720136,0.0539110084215703,0.821145654025243,0.0201687764600049,0.518914357886185,0.0977653887818051,1,-0.0120177349721458,0.673558394047968,-0.0143440389577723,0.523281485589045,-0.0297348092640304,0.461381237232772,0.0400375000993174,0.371282795653138,0.0197745969374082,0.408024787757293,-0.0674942436213745,0.0607245203445833,0.18737710416849,0.509362518534193,-0.0137664741335498,0.470358374090828,0.332805592590434,-0.105075734691898,0.00173933899065924,-0.010353515056511,0.366896052478899,0.36619814665248
"LACCESS_CHILD15",0.992564105231824,0.034459792162669,0.942948093973592,-0.0467439195937591,0.864820644440824,-0.153635466816227,0.887532321346455,-0.0120177349721458,1,0.0685061025114151,0.914248787224885,-0.0597260178297787,0.963010001345525,-0.00447090319906974,0.722400872644053,0.112998152186589,0.766688567686297,0.0801651924177424,0.744343672831453,0.310290732117175,0.289306524798628,-0.0297453383456033,0.839052414921065,0.101329431963553,-0.0593144089976747,-0.158342140759723,-0.0437047832037095,-0.0619311271480394,-0.108928413043878,-0.124639325422665
"PCT_LACCESS_CHILD15",0.0599141902045701,0.960496948703038,0.067252789893305,0.889141741022698,-0.014263783280352,0.164973103404267,0.0705428924697816,0.673558394047968,0.0685061025114151,1,0.0483918414226699,0.818308713590036,0.0634400878578863,0.885775687381953,0.0408175092876498,0.116809678776586,0.0329458999183619,0.446680565260999,0.00346729656260559,0.13914390741286,0.13843400946925,0.351624005467309,0.0266486876703206,0.590288263426994,-0.0937242914587847,0.15292480429685,-0.0665368607641739,-0.0682395850579991,-0.0681535989606951,-0.0731138128454061
